0 0.000180
1 0.000305
2 0.000342
3 0.000359
4 0.000455
5 0.000477
6 0.000505
7 0.000521
8 0.000534
9 0.000547
10 0.000565
11 0.000664
12 0.000763
13 0.000789
14 0.000802
15 0.000815
16 0.000828
17 0.000842
18 0.000868
19 0.000888
20 0.000906
21 0.000931
22 0.000945
23 0.000959
24 0.000971
25 0.000985
26 0.001008
27 0.001023
28 0.001037
29 0.001055
30 0.001069
31 0.001084
32 0.001104
33 0.001120
34 0.001130
35 0.001143
36 0.001157
37 0.001170
38 0.001264
39 0.001291
40 0.001309
41 0.001322
42 0.001336
43 0.001350
44 0.001364
45 0.001377
46 0.001389
47 0.001401
48 0.001416
49 0.001430
50 0.001442
51 0.001456
52 0.001468
53 0.001482
54 0.001494
55 0.001508
56 0.001521
57 0.001534
58 0.001546
59 0.001559
60 0.001571
61 0.001585
62 0.001598
63 0.001613
64 0.001626
65 0.001639
66 0.001654
67 0.001668
68 0.001681
69 0.001695
70 0.001708
71 0.001722
72 0.001734
73 0.001747
74 0.001761
75 0.001775
76 0.001789
77 0.001801
78 0.001814
79 0.001830
80 0.001843
81 0.001858
82 0.001886
83 0.001906
84 0.001924
85 0.001942
86 0.001958
87 0.001972
88 0.001990
89 0.002007
90 0.002026
91 0.002147
92 0.002179
93 0.002289
94 0.002481
95 0.002587
96 0.002612
97 0.002631
98 0.002650
99 0.002665
